,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,exposure_categorymap,wri_categorymap
1410,El Salvador,Very High,Very High,Medium,Medium,,32.6,,,,,2012.0,,3,3,2,4
1411,Brunei Darussalam,Very High,Very High,Low,Very Low,,41.1,,,,,2012.0,,2,1,2,4
1413,Mauritius,Very High,Very High,Low,Low,,37.35,,,,,2012.0,,2,2,2,4
1414,Nicaragua,Very High,Very High,High,High,,27.23,,,,,2012.0,,4,4,2,4
1415,Fidschi,Very High,Very High,Medium,Medium,,27.71,,,,,2012.0,,3,3,2,4
1416,Japan,Very High,Very High,Very Low,Very Low,,45.91,,,,,2012.0,,1,1,2,4
1419,Chile,Very High,Very High,Low,Low,,30.95,,,,,2012.0,,2,2,2,4
1451,Niederlande,Very High,High,Very Low,Very Low,,30.57,,,,,2012.0,,1,1,2,3
1573,Katar,Very Low,Very Low,Very Low,Very Low,,0.28,,,,,2012.0,,1,1,1,1
1574,Vanuatu,Very High,Very High,High,High,,86.46,,,,,2018.0,,4,4,2,4
1575,Tonga,Very High,Very High,High,High,,55.92,,,,,2018.0,,4,4,2,4
1576,Philippinen,Very High,Very High,High,High,,49.94,,,,,2018.0,,4,4,2,4
1577,Salomonen,Very High,Very High,High,Very High,,37.81,,,,,2018.0,,4,5,2,4
1578,Guyana,Very High,Very High,High,Medium,,45.56,,,,,2018.0,,4,3,2,4
1579,Papua-Neuguinea,Very High,Very High,Very High,Very High,,31.05,,,,,2018.0,,5,5,2,4
1580,Guatemala,Very High,Very High,High,High,,38.5,,,,,2018.0,,4,4,2,4
1581,Brunei Darussalam,Very High,Very High,Low,Very Low,,52.71,,,,,2018.0,,2,1,2,4
1582,Bangladesch,Very High,Very High,High,High,,29.95,,,,,2018.0,,4,4,2,4
1583,Fidschi,Very High,Very High,Medium,Medium,,35.51,,,,,2018.0,,3,3,2,4
1584,Costa Rica,Very High,Very High,Low,Low,,44.27,,,,,2018.0,,2,2,2,4
1585,Kambodscha,Very High,Very High,High,High,,27.13,,,,,2018.0,,4,4,2,4
1586,Timor-Leste,Very High,Very High,High,High,,26.96,,,,,2018.0,,4,4,2,4
1587,El Salvador,Very High,Very High,Medium,Medium,,33.46,,,,,2018.0,,3,3,2,4
1588,Kiribati,Very High,Very High,High,High,,26.37,,,,,2018.0,,4,4,2,4
1589,Mauritius,Very High,Very High,Low,Low,,37.22,,,,,2018.0,,2,2,2,4
1590,Nicaragua,Very High,Very High,High,High,,26.27,,,,,2018.0,,4,4,2,4
1601,Chile,Very High,Very High,Low,Low,,31.84,,,,,2018.0,,2,2,2,4
1602,Japan,Very High,Very High,Very Low,Low,,46.55,,,,,2018.0,,1,2,2,4
1638,Niederlande,Very High,High,Very Low,Very Low,,31.86,,,,,2018.0,,1,1,2,3
1746,Vanuatu,Very High,Very High,High,High,,63.66,,,,,2016.0,,4,4,2,4
